,convergence_episode,convergence_episode,convergence_timestep,convergence_timestep,episodes_logged,episodes_logged,eval_mean_length,eval_mean_length,eval_mean_masked_unsafe,eval_mean_masked_unsafe,eval_mean_reward,eval_mean_reward,eval_mean_violations,eval_mean_violations,eval_std_reward,eval_std_reward,eval_success_rate,eval_success_rate,final_reward_mean_10,final_reward_mean_10,mean_length,mean_length,mean_masked_unsafe,mean_masked_unsafe,mean_reward,mean_reward,mean_violations,mean_violations,success_rate,success_rate
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
env_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniGrid-LavaGapS5-v0,321.0,62.88481533724974,22120.4,4330.922338255445,26044.8,10711.812461017042,25.839999999999996,36.66775490809329,0.0,0.0,0.74644,0.36912489654587105,0.0,0.0,0.12808133610074032,0.16854786539233144,0.79,0.39115214431215894,0.80298,0.1771352364720244,16.4683078903101,14.9602924723936,0.0,0.0,0.8438125094348854,0.15003305623267485,0.0,0.0,0.920272804476763,0.1539132588976462
MiniGrid-LavaGapS6-v0,672.0,147.73173886022823,68559.75,13971.751915323053,10838.4,5860.258509656379,24.68,36.29140049653636,0.0,0.0,0.83375,0.2536540574470967,0.0,0.0,0.09632166241626954,0.20632287019337622,0.8800000000000001,0.2683281572999747,0.8036249999999999,0.2903387030693635,44.59288488451071,43.24506491474276,0.0,0.0,0.6970147225130384,0.3025881588458022,0.0,0.0,0.7572025304123039,0.32309275013362615
MiniGrid-LavaGapS7-v0,1570.0,130.10764773832474,226631.0,35121.99382153581,2003.8,627.6445650206812,166.41,51.32706888182881,0.0,0.0,0.15187244897959185,0.2633892347925052,0.0,0.0,0.18855534946817512,0.1938096941083372,0.16,0.2770379035439014,0.35711224489795923,0.4425508227731509,160.45381764459947,41.46552038316628,0.0,0.0,0.1857262706603558,0.21501011141518392,0.0,0.0,0.22504004742700276,0.24615675218584226
