,convergence_episode,convergence_episode,convergence_timestep,convergence_timestep,episodes_logged,episodes_logged,eval_mean_length,eval_mean_length,eval_mean_reward,eval_mean_reward,eval_mean_violations,eval_mean_violations,eval_std_reward,eval_std_reward,eval_success_rate,eval_success_rate,final_reward_mean_10,final_reward_mean_10,mean_length,mean_length,mean_reward,mean_reward,mean_violations,mean_violations,success_rate,success_rate
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
env_id,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniGrid-LavaGapS5-v0,844.4,465.8876474001001,26185.2,15645.846723651615,31885.0,3531.4351190415496,21.119999999999997,33.47397496563562,0.7939200000000001,0.33704282665560475,0.0,0.0,0.08080819927942343,0.16837137126459842,0.8400000000000001,0.3577708763999663,0.90334,0.046996893514358935,9.532626159880271,1.0287907357361383,0.87183558177816,0.020519195345954908,0.04626907693772757,0.023001388938172822,0.9420824721305971,0.02177901231826686
MiniGrid-LavaGapS6-v0,1301.8,828.3961612658522,61137.0,37856.80645537867,18439.8,8886.80441441129,20.979999999999997,27.29323634162867,0.8598750000000001,0.19070600225707376,0.0,0.0,0.09979754486391237,0.20661503220553495,0.9099999999999999,0.20124611797498107,0.844,0.15794926004891577,24.967249580013057,23.928481538983696,0.7931209315300645,0.17110516716009117,0.0530640788399203,0.03542342980506882,0.8589095375814904,0.17502679213938507
MiniGrid-LavaGapS7-v0,1988.2,1182.3636073560451,133805.6,50619.12085664863,10143.8,3304.089163445805,22.099999999999998,24.74454485336111,0.8925204081632654,0.12703541757645967,0.0,0.0,0.0917103014447919,0.19224904289205233,0.9400000000000001,0.1341640786499874,0.9167244897959185,0.03773096994902812,32.74252211278673,11.828764879094045,0.7465774899153963,0.06674864505462809,0.11405715576170661,0.09254547699013176,0.8161992725155333,0.07141101995299186
