env_id,seed,episodes_logged,mean_reward,final_reward_mean_10,mean_length,mean_violations,success_rate,mean_masked_unsafe,convergence_episode,convergence_timestep,eval_mean_reward,eval_std_reward,eval_mean_length,eval_mean_violations,eval_success_rate,eval_mean_masked_unsafe
MiniGrid-LavaGapS5-v0,0,34281,0.9200109681747907,0.9406000000000001,8.78200752603483,0.0,0.9904903590910417,0.0,195,14088,0.9442000000000002,0.005400000000000005,6.2,0.0,1.0,0.0
MiniGrid-LavaGapS6-v0,0,22089,0.9131773733532529,0.473125,13.628683960342252,0.0,0.9835664810539182,0.0,422,43849,0.426875,0.47193128803354406,82.9,0.0,0.45,0.0
MiniGrid-LavaGapS7-v0,0,12173,0.8822084087064547,0.9499489795918368,24.731044114022836,0.0,0.957693255565596,0.0,633,95649,0.9520153061224489,0.003071729424549409,10.45,0.0,1.0,0.0
MiniGrid-LavaGapS5-v0,1,31308,0.9122923533921042,0.9361,9.615401814232785,0.0,0.9883096972019931,0.0,236,15800,0.9442000000000002,0.0054000000000000055,6.2,0.0,1.0,0.0
MiniGrid-LavaGapS6-v0,1,24564,0.9225505312652662,0.9331249999999999,12.25578081745644,0.0,0.99149161374369,0.0,269,27557,0.9471875000000003,0.00418096505008115,8.45,0.0,1.0,0.0
MiniGrid-LavaGapS7-v0,1,18395,0.9236539154938954,0.9485714285714286,16.36602337591737,0.0,0.9880402283229138,0.0,258,36043,0.5231377551020409,0.4732031951778105,94.05,0.0,0.55,0.0
MiniGrid-LavaGapS5-v0,2,27891,0.9006429314115665,0.9406000000000001,10.793876160768706,0.0,0.9778781685848481,0.0,307,21670,0.9451,0.0056204981985585635,6.1,0.0,1.0,0.0
MiniGrid-LavaGapS6-v0,2,23812,0.9198264005543424,0.9350000000000002,12.642995128506636,0.0,0.9884512010750882,0.0,386,39994,0.9475000000000001,0.0041457809879442585,8.4,0.0,1.0,0.0
MiniGrid-LavaGapS7-v0,2,18180,0.9226017601760177,0.9504081632653062,16.55973597359736,0.0,0.9864136413641365,0.0,388,54178,0.9520153061224489,0.003071729424549409,10.45,0.0,1.0,0.0
MiniGrid-LavaGapS5-v0,3,33985,0.9197272914521113,0.9180999999999999,8.858378696483744,0.0,0.9945269972046491,0.0,192,13059,0.80185,0.33686559263302623,20.35,0.0,0.85,0.0
MiniGrid-LavaGapS6-v0,3,23575,0.9191015376458112,0.8975,12.770010604453871,0.0,0.9891410392364793,0.0,322,37012,0.9475000000000001,0.0041457809879442585,8.4,0.0,1.0,0.0
MiniGrid-LavaGapS7-v0,3,11639,0.8773200061019341,0.8536224489795918,25.86562419451843,0.0,0.9609072944411032,0.0,584,81946,0.9499489795918368,0.007098807321615445,10.9,0.0,1.0,0.0
MiniGrid-LavaGapS5-v0,4,31702,0.9135513532269257,0.9423999999999999,9.49640401236515,0.0,0.990189893382121,0.0,286,19386,0.9455499999999999,0.00602058967211685,6.05,0.0,1.0,0.0
MiniGrid-LavaGapS6-v0,4,22051,0.913066584281892,0.931875,13.65248741553671,0.0,0.9839463062899642,0.0,288,30618,0.7093749999999999,0.40957056397524466,42.5,0.0,0.75,0.0
MiniGrid-LavaGapS7-v0,4,11036,0.86944753164042,0.9471938775510205,27.278996013048207,0.0,0.9470822761870242,0.0,718,103344,0.9508673469387755,0.002940210109025287,10.7,0.0,1.0,0.0
