,convergence_episode,convergence_episode,convergence_timestep,convergence_timestep,episodes_logged,episodes_logged,eval_mean_length,eval_mean_length,eval_mean_masked_unsafe,eval_mean_masked_unsafe,eval_mean_reward,eval_mean_reward,eval_mean_violations,eval_mean_violations,eval_std_reward,eval_std_reward,eval_success_rate,eval_success_rate,final_reward_mean_10,final_reward_mean_10,mean_length,mean_length,mean_masked_unsafe,mean_masked_unsafe,mean_reward,mean_reward,mean_violations,mean_violations,success_rate,success_rate
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
env_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniGrid-LavaGapS5-v0,243.2,52.19865898660616,16800.6,3631.6084315355365,31833.4,2571.7677383465248,8.98,6.356355087626871,0.0,0.0,0.91618,0.06391508624730163,0.0,0.0,0.07186133610074033,0.14814209974639395,0.97,0.06708203932499371,0.9355600000000001,0.010034091887161527,9.509213641977043,0.8084263514793685,0.0,0.0,0.9132449795314997,0.007867845136647428,0.0,0.0,0.9882790230929306,0.006240138781682329
MiniGrid-LavaGapS6-v0,337.4,64.95229018287192,35806.0,6682.906815151622,23218.2,1110.0147296319992,30.130000000000003,32.985216385526414,0.0,0.0,0.7956875000000001,0.23049882219059176,0.0,0.0,0.1787948758069517,0.2401463121175472,0.8400000000000001,0.24341322889276168,0.834125,0.2024038158916476,12.989991585259181,0.6234365043043164,0.0,0.0,0.917544485420113,0.00423719570368623,0.0,0.0,0.9873193282798279,0.0034448828888407664
MiniGrid-LavaGapS7-v0,516.2,188.4574222470423,74232.0,28400.109445211652,14284.6,3676.988754402167,27.310000000000002,37.30927163588161,0.0,0.0,0.8655969387755101,0.1914424653847266,0.0,0.0,0.09787713429151002,0.20982105815735438,0.9099999999999999,0.20124611797498107,0.9299489795918368,0.04268635491438361,22.16028473422084,5.279184609608829,0.0,0.0,0.8950463244237443,0.02603857205910406,0.0,0.0,0.9680273391761547,0.0182671551210502
