,convergence_episode,convergence_episode,convergence_timestep,convergence_timestep,episodes_logged,episodes_logged,eval_mean_length,eval_mean_length,eval_mean_masked_unsafe,eval_mean_masked_unsafe,eval_mean_reward,eval_mean_reward,eval_mean_violations,eval_mean_violations,eval_std_reward,eval_std_reward,eval_success_rate,eval_success_rate,final_reward_mean_10,final_reward_mean_10,mean_length,mean_length,mean_masked_unsafe,mean_masked_unsafe,mean_reward,mean_reward,mean_violations,mean_violations,success_rate,success_rate
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
env_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniGrid-LavaCrossingS11N5-v0,,,,,659.0,47.52367830881779,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09856198347107437,0.13917726706462283,458.3670833954822,30.977337726730422,0.0,0.0,0.05794303550310892,0.06888499377459156,0.0,0.0,0.1027852115586519,0.11312652020746289
MiniGrid-LavaCrossingS9N1-v0,725.75,290.09581750403316,174883.5,73582.35830460089,2682.4,1909.2306827620387,157.68,116.54442071587982,0.0,0.0,0.516,0.36154971227266164,0.0,0.0,0.30001278082804583,0.20087545042186233,0.54,0.3781534080237807,0.6015555555555555,0.38251268840408864,171.04813969075866,110.53843716179392,0.0,0.0,0.48160346805088405,0.34517145574760133,0.0,0.0,0.5673718941410257,0.3827103749004629
MiniGrid-LavaCrossingS9N3-v0,,,,,1059.6,82.65772801136018,317.95,13.52821126387373,0.0,0.0,0.018805555555555555,0.04205050057687104,0.0,0.0,0.056428222461136025,0.12617734127258065,0.02,0.0447213595499958,0.21544444444444447,0.2624250039840895,285.4124067556719,22.536126062580887,0.0,0.0,0.1275681114938105,0.07325380363212572,0.0,0.0,0.20380352481788075,0.10677531556744597
