,convergence_episode,convergence_episode,convergence_timestep,convergence_timestep,episodes_logged,episodes_logged,eval_mean_length,eval_mean_length,eval_mean_masked_unsafe,eval_mean_masked_unsafe,eval_mean_reward,eval_mean_reward,eval_mean_risky_actions,eval_mean_risky_actions,eval_mean_risky_penalty,eval_mean_risky_penalty,eval_mean_violations,eval_mean_violations,eval_std_reward,eval_std_reward,eval_success_rate,eval_success_rate,final_reward_mean_10,final_reward_mean_10,mean_length,mean_length,mean_masked_unsafe,mean_masked_unsafe,mean_reward,mean_reward,mean_risky_actions,mean_risky_actions,mean_risky_penalty,mean_risky_penalty,mean_violations,mean_violations,success_rate,success_rate
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
env_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniGrid-LavaGapS5-v0,317.2,126.08013324866056,21554.0,9814.51450658666,31460.4,2054.27196349461,32.410000000000004,21.672171095670134,0.0,0.0,0.6041099999999999,0.3288692414927246,7.62,13.016268666557249,0.07620000000000002,0.1301626866655725,0.0,0.0,0.3781729778309077,0.2498428864769411,0.72,0.23075961518428653,0.72984,0.25312751332085576,9.600440515660834,0.6175013486855155,0.0,0.0,0.8781349837991564,0.006850838868326327,3.421257338791667,0.13491245244778532,0.03421257338791668,0.0013491245244778534,0.0,0.0,0.9875152182802065,0.00537274400989255
MiniGrid-LavaGapS6-v0,484.0,155.2981004391232,48975.0,13555.519152728899,21281.8,1335.766708673337,26.04,18.913070877041623,0.0,0.0,0.78935,0.13067892577085635,3.4899999999999998,3.1676884316485423,0.034900000000000014,0.031676884316485444,0.0,0.0,0.2700322505625553,0.23876418699634727,0.8699999999999999,0.1396424004376894,0.8899250000000001,0.04443768459877266,14.18888016175907,0.8583629431204753,0.0,0.0,0.8778457835431819,0.006181187186994626,3.1581625696128954,0.057941790002053045,0.031581625696128955,0.000579417900020535,0.0,0.0,0.9810791025030507,0.006499283703577333
MiniGrid-LavaGapS7-v0,705.0,114.66763565482053,100796.75,15683.523272849121,8941.8,5466.747085790598,71.79,62.390648337711646,0.0,0.0,0.6126520408163265,0.31183308081989575,2.4699999999999998,2.335754696024392,0.024700000000000007,0.023357546960243933,0.0,0.0,0.32508946703804403,0.20187610199349026,0.67,0.3365263734092768,0.7733999999999999,0.2256130381704548,61.85507502941082,63.84480904592063,0.0,0.0,0.6391268070292233,0.34782778857287,5.307249820443981,2.2827629210278415,0.05307249820443982,0.022827629210278425,0.0,0.0,0.7622771098095773,0.3381530798303728
