,convergence_episode,convergence_episode,convergence_timestep,convergence_timestep,episodes_logged,episodes_logged,eval_mean_length,eval_mean_length,eval_mean_reward,eval_mean_reward,eval_mean_violations,eval_mean_violations,eval_std_reward,eval_std_reward,eval_success_rate,eval_success_rate,final_reward_mean_10,final_reward_mean_10,mean_length,mean_length,mean_reward,mean_reward,mean_violations,mean_violations,success_rate,success_rate
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
env_id,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniGrid-LavaGapS5-v0,411.6,153.96687955531215,22619.4,10827.39628442591,29408.8,6619.73524395047,10.78,10.38114878036145,0.8979800000000001,0.10461048346126696,0.0,0.0,0.08657247367723928,0.18103716400715802,0.95,0.11180339887498948,0.8084,0.2849276048402471,10.833394969681926,3.333037972995447,0.8669065197562388,0.033225422275171175,0.024125448941410124,0.003308404143998783,0.9516428007775269,0.032818080051357314
MiniGrid-LavaGapS6-v0,1088.2,380.66941038123883,115525.2,50428.510821756376,11351.6,6006.566931284458,10.85,2.61270932175778,0.9311875000000001,0.018449942835277327,0.0,0.0,0.05234360577187395,0.08647792052779027,0.99,0.02236067977499793,0.9181249999999999,0.02023784357336531,34.48928804976839,19.68115077745633,0.7369770380441201,0.15157222909840729,0.026728282150583326,0.013042272491035074,0.8228557122466761,0.14824808866768635
MiniGrid-LavaGapS7-v0,1096.3333333333333,361.18462499576765,159398.0,55669.68309591855,4353.6,3400.0559260106293,89.2,97.79475318236659,0.5484081632653062,0.5021611161632472,0.0,0.0,0.0613901965190093,0.12432279996117342,0.58,0.5310367218940701,0.48601020408163265,0.42411052154554124,107.71278300072144,70.32318018643002,0.3927129135391185,0.39548547297455344,0.05782919857725808,0.033391915599032505,0.4765083810874211,0.41620971410226226
