env_id,seed,episodes_logged,mean_reward,final_reward_mean_10,mean_length,mean_violations,success_rate,convergence_episode,convergence_timestep,eval_mean_reward,eval_std_reward,eval_mean_length,eval_mean_violations,eval_success_rate
MiniGrid-LavaGapS5-v0,0,33168,0.8294297214182346,0.8239000000000001,9.076459237819584,0.03409913169319826,0.9603533526290401,442.0,16323.0,0.6631,0.43410884579791736,34.1,0.0,0.7
MiniGrid-LavaGapS6-v0,0,8339,0.6604952632210097,0.7255,36.09809329655834,0.04005276412039813,0.7902626214174362,1099.0,98169.0,0.5668749999999999,0.46285923548634095,62.9,0.0,0.6
MiniGrid-LavaGapS7-v0,0,5945,0.6475391428228146,0.8824183673469387,50.63952901597982,0.040538267451640034,0.7939444911690496,1040.0,146570.0,0.9465051020408163,0.006375050530215989,11.65,0.0,1.0
MiniGrid-LavaGapS5-v0,1,35795,0.829816790054477,0.8997000000000002,8.41036457605811,0.037938259533454394,0.9582064534152814,472.0,20875.0,0.9442000000000002,0.0054000000000000055,6.2,0.0,1.0
MiniGrid-LavaGapS6-v0,1,9932,0.7303997180829641,0.9193749999999999,30.31141763995167,0.022452678211840514,0.8507853403141361,866.0,77998.0,0.9471875000000003,0.00418096505008115,8.45,0.0,1.0
MiniGrid-LavaGapS7-v0,1,1589,-0.10349231322484945,-0.008,189.37570799244807,0.04782882315921964,0.003775959723096287,,,0.0,0.0,196.0,0.0,0.0
MiniGrid-LavaGapS5-v0,2,31290,0.8135815596037074,0.8872,9.621316714605305,0.04007670182166827,0.946564397571109,684.0,40369.0,0.9451,0.0056204981985585635,6.1,0.0,1.0
MiniGrid-LavaGapS6-v0,2,19129,0.8449403392754457,0.820875,15.736734800564587,0.013173715301374875,0.9561398923101051,768.0,72878.0,0.9475000000000001,0.0041457809879442585,8.4,0.0,1.0
MiniGrid-LavaGapS7-v0,2,4534,0.575307517802004,0.9147653061224489,66.39303043670049,0.02690780767534186,0.7238641376268196,1608.0,237267.0,0.9520153061224489,0.003071729424549409,10.45,0.0,1.0
MiniGrid-LavaGapS5-v0,3,36428,0.8347753925551774,0.9000999999999999,8.264247282310311,0.03730646755243219,0.9591797518392445,432.0,16460.0,0.71085,0.410421280515521,29.35,0.0,0.75
MiniGrid-LavaGapS6-v0,3,9647,0.7117085622473308,0.814125,31.207111018969627,0.03151238727065409,0.828547735047165,576.0,52089.0,0.5675,0.463375859858927,62.8,0.0,0.6
MiniGrid-LavaGapS7-v0,3,9469,0.7711389367237019,0.9208163265306123,31.793536804308797,0.022811278910127786,0.898827753722674,1060.0,150090.0,0.9520153061224489,0.003071729424549409,10.45,0.0,1.0
MiniGrid-LavaGapS5-v0,4,32926,0.8275657838790015,0.6140000000000001,9.143412500759279,0.03374233128834356,0.9583308024053939,378.0,21137.0,0.9455499999999999,0.00602058967211685,6.05,0.0,1.0
MiniGrid-LavaGapS6-v0,4,3742,0.325277926242651,0.8081250000000001,80.45296632816675,0.0521111704970604,0.4681988241582042,1777.0,202107.0,0.66375,0.43453728982677653,49.0,0.0,0.7
MiniGrid-LavaGapS7-v0,4,2633,0.3039101823790663,0.7790204081632652,114.33345993163691,0.043676414736042536,0.4633497911127991,1669.0,246860.0,0.47290816326530605,0.47293669728373905,103.9,0.0,0.5
