,convergence_episode,convergence_episode,convergence_timestep,convergence_timestep,episodes_logged,episodes_logged,eval_mean_length,eval_mean_length,eval_mean_reward,eval_mean_reward,eval_mean_violations,eval_mean_violations,eval_std_reward,eval_std_reward,eval_success_rate,eval_success_rate,final_reward_mean_10,final_reward_mean_10,mean_length,mean_length,mean_reward,mean_reward,mean_violations,mean_violations,success_rate,success_rate
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
env_id,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniGrid-LavaGapS5-v0,481.6,118.13043638283914,23032.8,9962.644036599922,33921.4,2137.528900389419,16.36,14.126544163382635,0.8417600000000001,0.14230451240210198,0.0,0.0,0.17231424283682276,0.22832658823375257,0.89,0.15165750888103102,0.82498,0.12207697162036743,8.903160062310517,0.5600356567590795,0.8270338495021197,0.007979089968332288,0.03663257837781934,0.0026829459805571697,0.9565269515720137,0.005634842074064764
MiniGrid-LavaGapS6-v0,1017.2,464.6522355482646,100648.2,59038.64412992562,10157.8,5596.089143321432,38.31,27.860958346761873,0.7385625000000001,0.19462473908139236,0.0,0.0,0.27381982624201395,0.24643797261061265,0.78,0.20493901531919198,0.8176,0.06883519721043876,38.7612646168422,24.51471291307028,0.6545643618138802,0.19603839288567312,0.031860543080265605,0.015124707126358402,0.7787868826494093,0.18419462874278242
MiniGrid-LavaGapS7-v0,1344.25,340.77986540678523,195196.75,54277.61062890788,4834.0,3089.5781265409037,66.49000000000001,82.85640741668685,0.664688775510204,0.42518363203703813,0.0,0.0,0.09709104133261078,0.21011620619015534,0.7,0.4472135954999579,0.697804081632653,0.3986366021017057,90.50705283621481,63.168210248805366,0.43888069330054746,0.34818518217646477,0.03635251838647437,0.010902215958068309,0.5767524266708877,0.3583674629847011
