,convergence_episode,convergence_episode,convergence_timestep,convergence_timestep,episodes_logged,episodes_logged,eval_mean_length,eval_mean_length,eval_mean_length_stochastic,eval_mean_length_stochastic,eval_mean_masked_unsafe,eval_mean_masked_unsafe,eval_mean_masked_unsafe_stochastic,eval_mean_masked_unsafe_stochastic,eval_mean_reward,eval_mean_reward,eval_mean_reward_stochastic,eval_mean_reward_stochastic,eval_mean_risky_actions,eval_mean_risky_actions,eval_mean_risky_actions_stochastic,eval_mean_risky_actions_stochastic,eval_mean_risky_penalty,eval_mean_risky_penalty,eval_mean_risky_penalty_stochastic,eval_mean_risky_penalty_stochastic,eval_mean_violations,eval_mean_violations,eval_mean_violations_stochastic,eval_mean_violations_stochastic,eval_std_reward,eval_std_reward,eval_std_reward_stochastic,eval_std_reward_stochastic,eval_success_rate,eval_success_rate,eval_success_rate_stochastic,eval_success_rate_stochastic,final_reward_mean_10,final_reward_mean_10,final_risky_penalty,final_risky_penalty,final_success_rate_100,final_success_rate_100,mean_length,mean_length,mean_masked_unsafe,mean_masked_unsafe,mean_reward,mean_reward,mean_risky_actions,mean_risky_actions,mean_risky_penalty,mean_risky_penalty,mean_violations,mean_violations,success_rate,success_rate
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
env_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniGrid-LavaGapS5-v0,268.2,119.03444879529623,17906.2,6729.639641169503,30503.0,2341.654863552697,16.962,24.34966365270781,11.282,6.981265644566177,0.0,0.0,0.0,0.0,0.790502,0.2957658362962159,0.852542,0.09427002848201532,4.523999999999999,5.068049920827536,4.492,3.0829969185842536,0.04524000000000001,0.050680499208275394,0.04492,0.03082996918584252,0.0,0.0,0.0,0.0,0.12272571293542558,0.2653218645449606,0.14593195988391766,0.12226130164752999,0.884,0.25938388538997564,0.99,0.014142135623730968,0.8608800000000001,0.08755205308843421,0.01,0.0,0.974,0.0371483512420134,9.917806732318464,0.7896173790627341,0.0,0.0,0.8835529137481171,0.009512766648347036,3.764476291756317,0.322553178317566,0.025817730856173345,0.002100879431748882,0.0,0.0,0.9863090519515649,0.006488441823832194
MiniGrid-LavaGapS6-v0,368.2,110.75287806644124,38000.0,12333.595643606937,23898.8,1570.0279296878768,24.936,19.369657456960876,11.57,3.6135508852097264,0.0,0.0,0.0,0.0,0.78291,0.15633675126749633,0.8981475,0.026209971563796078,4.904,5.891874065185032,2.934,0.6079309171279251,0.04904000000000001,0.05891874065185035,0.029339999999999998,0.0060793091712792536,0.0,0.0,0.0,0.0,0.2731879669229861,0.2702938743085605,0.0656573561955078,0.052075445373350064,0.8780000000000001,0.14289856542316998,0.998,0.004472135954999567,0.903675,0.03194717319263166,0.01,0.0,0.998,0.004472135954999567,12.640702405778606,0.8393035514068641,0.0,0.0,0.8934627709795505,0.008895910781480955,3.9010053947676524,0.5996434210766286,0.0264580260189606,0.004899237440654212,0.0,0.0,0.9892518703462745,0.004158588956348253
MiniGrid-LavaGapS7-v0,628.6,81.79731046923241,81763.6,15222.914579672315,14397.2,1624.1025829669752,45.862,29.242015491412353,15.322,4.83400661977205,0.0,0.0,0.0,0.0,0.6759291836734694,0.2874869268876405,0.8965438775510204,0.041776144589562296,9.447999999999999,14.233280366802305,3.29,1.9557607215607946,0.09448000000000004,0.14233280366802314,0.0329,0.019557607215607956,0.0,0.0,0.0,0.0,0.44335540186552747,0.2512318029801799,0.0894712774287686,0.10995031332267831,0.8099999999999999,0.1574801574802362,0.998,0.004472135954999583,0.9182938775510203,0.006726461418556306,0.01,0.0,1.0,0.0,21.143315795380285,2.5913099855023023,0.0,0.0,0.8698715729744304,0.015250686834365262,4.488105436548741,0.3561690854294767,0.030206313997505986,0.0025199937527450324,0.0,0.0,0.9716454113439698,0.011827104896283035
