,convergence_episode,convergence_episode,convergence_timestep,convergence_timestep,episodes_logged,episodes_logged,eval_mean_length,eval_mean_length,eval_mean_masked_unsafe,eval_mean_masked_unsafe,eval_mean_reward,eval_mean_reward,eval_mean_violations,eval_mean_violations,eval_std_reward,eval_std_reward,eval_success_rate,eval_success_rate,final_reward_mean_10,final_reward_mean_10,mean_length,mean_length,mean_masked_unsafe,mean_masked_unsafe,mean_reward,mean_reward,mean_violations,mean_violations,success_rate,success_rate
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
env_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniGrid-LavaGapS5-v0,573.6,822.8507155006915,40847.8,56143.547338051234,28491.2,8266.513091987455,6.13,0.06708203932499412,0.0,0.0,0.94483,0.0006037383539248436,0.0,0.0,0.005612317213846797,0.00025346471933728213,1.0,0.0,0.9321400000000001,0.008089993819527902,11.850966724541511,5.549089189687258,0.0,0.0,0.88986316462594,0.05573139495069864,0.0,0.0,0.9652186514681358,0.0579229264232276
MiniGrid-LavaGapS6-v0,469.0,163.10732662881824,49867.6,16264.600065787046,21082.6,2211.1216158321095,28.770000000000003,32.57523215573452,0.0,0.0,0.8051875000000001,0.22757431392706653,0.0,0.0,0.17238369488785082,0.23258770192139983,0.85,0.23979157616563596,0.914625,0.03690570755316848,14.39537832043113,1.3865254639045619,0.0,0.0,0.9076860067401361,0.009526741959637685,0.0,0.0,0.9765712124283079,0.009280236356942301
MiniGrid-LavaGapS7-v0,935.2,556.3503392647478,133884.4,75697.79352993058,9192.6,6043.216345622585,45.85,39.44184009399156,0.0,0.0,0.7704642857142856,0.20244097647503106,0.0,0.0,0.25200890421711,0.2317310892760962,0.8099999999999999,0.21330729007701546,0.8758979591836734,0.12154369114325259,52.5944902370202,43.558193804584626,0.0,0.0,0.739707679771954,0.22216060489555378,0.0,0.0,0.8121299208480177,0.22157481908924306
