,convergence_episode,convergence_episode,convergence_timestep,convergence_timestep,episodes_logged,episodes_logged,eval_mean_length,eval_mean_length,eval_mean_reward,eval_mean_reward,eval_mean_violations,eval_mean_violations,eval_std_reward,eval_std_reward,eval_success_rate,eval_success_rate,final_reward_mean_10,final_reward_mean_10,mean_length,mean_length,mean_reward,mean_reward,mean_violations,mean_violations,success_rate,success_rate
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
env_id,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniGrid-LavaGapS5-v0,413.2,137.60704923803868,29517.8,11297.194505716896,32350.0,2694.700447174045,13.61,16.76500820160849,0.86951,0.16877353317389554,0.0,0.0,0.09722100908076227,0.20472469591294531,0.9199999999999999,0.17888543819998318,0.8914199999999999,0.08811587257696535,9.354180420456121,0.7223267530699342,0.8946939579965791,0.007143571796926436,0.02174737622788162,0.005590354256729913,0.9674460173765146,0.006325471831697367
MiniGrid-LavaGapS6-v0,445.4,141.37467948681618,45269.6,14429.517396642204,23026.8,2002.4738949609307,11.18,3.738415439728442,0.928125,0.02610357225314195,0.0,0.0,0.08496425889955175,0.11085395458186158,0.9800000000000001,0.02738612787525833,0.9182500000000001,0.04576476879106898,13.153984511745216,1.15223049041438,0.9030884214999888,0.009583773899589608,0.015052287184558652,0.00458566971370259,0.9707400410869603,0.00870714910853721
MiniGrid-LavaGapS7-v0,534.4,147.15060312482584,70168.6,22347.996426973048,16139.0,1690.2439173089786,19.740000000000002,16.007123414280283,0.9043571428571427,0.08216230914313313,0.0,0.0,0.11946938806223542,0.1709541731818815,0.95,0.08660254037844385,0.9203061224489796,0.0435728474414106,18.81231398120759,1.9327317788212612,0.8981417680753788,0.010252681013181069,0.015919262023087556,0.002351590861994532,0.9637364679470718,0.010550127100485845
