,convergence_episode,convergence_episode,convergence_timestep,convergence_timestep,episodes_logged,episodes_logged,eval_mean_length,eval_mean_length,eval_mean_masked_unsafe,eval_mean_masked_unsafe,eval_mean_reward,eval_mean_reward,eval_mean_violations,eval_mean_violations,eval_std_reward,eval_std_reward,eval_success_rate,eval_success_rate,final_reward_mean_10,final_reward_mean_10,mean_length,mean_length,mean_masked_unsafe,mean_masked_unsafe,mean_reward,mean_reward,mean_violations,mean_violations,success_rate,success_rate
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
env_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniGrid-LavaCrossingS11N5-v0,,,,,580.4,93.02042786399127,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.7405144694534,0.25893629342542207,0.0,0.0,0.000578977438813744,0.0005631736321380982,0.0,0.0,0.0009646302250803859,0.0008805828898796883
MiniGrid-LavaCrossingS9N1-v0,,,,,929.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.87674919268034,0.14277568002993193,0.0,0.0,0.00045000598014591556,0.0005205905076402269,0.0,0.0,0.001076426264800861,0.0012429499874911211
MiniGrid-LavaCrossingS9N3-v0,,,,,929.5,0.9999999999999905,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.66641393966233,0.24311323111126312,0.0,0.0,0.0011685926140894292,0.0007988031410293813,0.0,0.0,0.0024196466870698196,0.0013501864542558837
