,convergence_episode,convergence_episode,convergence_timestep,convergence_timestep,episodes_logged,episodes_logged,eval_mean_length,eval_mean_length,eval_mean_masked_unsafe,eval_mean_masked_unsafe,eval_mean_reward,eval_mean_reward,eval_mean_risky_actions,eval_mean_risky_actions,eval_mean_risky_penalty,eval_mean_risky_penalty,eval_mean_violations,eval_mean_violations,eval_std_reward,eval_std_reward,eval_success_rate,eval_success_rate,final_reward_mean_10,final_reward_mean_10,mean_length,mean_length,mean_masked_unsafe,mean_masked_unsafe,mean_reward,mean_reward,mean_risky_actions,mean_risky_actions,mean_risky_penalty,mean_risky_penalty,mean_violations,mean_violations,success_rate,success_rate
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
env_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniGrid-LavaGapS5-v0,1285.0,160.7529159922146,35932.4,7051.500606253963,31884.2,768.223079580404,8.98,6.356355087626871,0.0,0.0,0.71118,0.04449031636210283,2.05,0.2,0.20500000000000002,0.019999999999999997,0.0,0.0,0.07722259165420615,0.10529119347200724,0.97,0.06708203932499371,0.63238,0.09039417569733134,9.446422931623374,0.2321271995528665,0.0,0.0,0.6284814247711299,0.005408896530131363,2.855615949548556,0.058414858086945264,0.28556159495485567,0.0058414858086945475,0.0,0.0,0.9906082611059587,0.0022402008776018075
MiniGrid-LavaGapS6-v0,1369.0,563.8268055588229,101310.0,28700.592549051435,12570.4,6550.882520699024,49.269999999999996,41.94154563198643,0.0,0.0,0.5040625000000001,0.235564585258746,1.58,0.61400325732035,0.158,0.06140032573203501,0.0,0.0,0.26671796702853057,0.11006779854036369,0.7,0.3102418411497714,0.5675000000000001,0.241846332280438,39.5345419653638,40.71035388719469,0.0,0.0,0.46235389252772663,0.3139543142574203,2.6989994240438597,0.299749156178952,0.2698999424043859,0.02997491561789515,0.0,0.0,0.7934472221563639,0.2993993458958019
MiniGrid-LavaGapS7-v0,2336.0,,218432.0,,2460.2,1585.621234721584,147.87,73.56498487731783,0.0,0.0,0.19100510204081633,0.3012726684273862,0.5599999999999999,0.7757254669017899,0.05600000000000001,0.07757254669017899,0.0,0.0,0.14656293339758886,0.17559417074185893,0.26,0.39749213828703583,0.1674081632653061,0.38620502202034596,150.2995721780658,55.82576904344336,0.0,0.0,-0.1514602088153896,0.3587638596583363,3.891428723910549,0.7691375073372649,0.38914287239105466,0.07691375073372639,0.0,0.0,0.2783376031168146,0.3173401548983181
